,business_name,one_line_address,longitude,latitude,street,zip,Industry,line_of_business,category
84,Locksmith,"956 3RD AVENUE, BROOKLYN, NY 11232",-74.007041,40.655547999999996,956 3rd Ave,11232,LOCKS AND LOCKSMITHS,MISC SHOPPING,SHOPPING
85,24 Hour Locksmith,"265 43RD STREET, BROOKLYN, NY 11232",-74.010944,40.652146,265 43rd St,11232,LOCKS AND LOCKSMITHS,MISC SHOPPING,SHOPPING
86,Cline Locksmith,"871 5TH AVENUE, BROOKLYN, NY 11232",-74.000291,40.651297,871 5th Ave,11232,LOCKS AND LOCKSMITHS,MISC SHOPPING,SHOPPING
87,Emergency Locksmith,"68 34TH STREET, BROOKLYN, NY 11232",-74.0064,40.65722,68 34th St,11232,LOCKS AND LOCKSMITHS,MISC SHOPPING,SHOPPING
88,Battery Pl Locksmith,"53 BATTERY PLACE, NEW YORK, NY 10280",-74.017451,40.706371999999995,53 Battery Pl,10280,LOCKS AND LOCKSMITHS,MISC SHOPPING,SHOPPING
89,Earnest Locksmith,"235 SOUTH END AVENUE, NEW YORK, NY 10280",-74.016964,40.709361,235 S End Ave,10280,LOCKS AND LOCKSMITHS,MISC SHOPPING,SHOPPING
90,Barry's Locksmith,"783 HICKS STREET, BROOKLYN, NY 11231",-74.004722,40.6761,783 Hicks St,11231,LOCKS AND LOCKSMITHS,MISC SHOPPING,SHOPPING
91,A A A Abco Locksmtih,"142 CARROLL STREET, BROOKLYN, NY 11231",-74.000315,40.681942,142 Carroll St,11231,LOCKS AND LOCKSMITHS,MISC SHOPPING,SHOPPING
92,23 7 Lock Repair Of Brooklyn,"255 SMITH STREET, BROOKLYN, NY 11231",-73.992627,40.683067,255 Smith St,11231,LOCKS AND LOCKSMITHS,MISC SHOPPING,SHOPPING
93,Supreme Red Hook Locksmith,"603 CLINTON STREET, BROOKLYN, NY 11231",-74.001568,40.674645,603 Clinton St,11231,LOCKS AND LOCKSMITHS,MISC SHOPPING,SHOPPING
94,Brooklyn American Locksmith,"507 CLINTON STREET, BROOKLYN, NY 11231",-73.999738,40.678521,507 Clinton St,11231,LOCKS AND LOCKSMITHS,MISC SHOPPING,SHOPPING
95,24 Hour 7 Day Emergency Locksmith,"212 DEGRAW STREET, BROOKLYN, NY 11231",-73.998853,40.684646,212 Degraw St,11231,LOCKS AND LOCKSMITHS,MISC SHOPPING,SHOPPING
96,Ampm Locksmith,"59 SEABRING STREET, BROOKLYN, NY 11231",-74.007564,40.680865000000004,59 Seabring St,11231,LOCKS AND LOCKSMITHS,MISC SHOPPING,SHOPPING
97,24 Hr My Local Locksmith,"379 COLUMBIA STREET, BROOKLYN, NY 11231",-74.00533,40.67892,379 Columbia St,11231,LOCKS AND LOCKSMITHS,MISC SHOPPING,SHOPPING
98,Locksmith 24hrs Inc,"431 COLUMBIA STREET, BROOKLYN, NY 11231",-74.00608000000001,40.677416,431 Columbia St,11231,LOCKS AND LOCKSMITHS,MISC SHOPPING,SHOPPING
